Frame,Time (ms),Area,Perimeter,Aspect Ratio,Circularity,Convexity,Elongation,Solidity,Rectangularity,Extent,Max Height,Min Length,filename
91.0,3000.0,10917.5,429.26197266578674,0.9280422210466673,0.7445403353437614,0.9821870361207323,0.9280422210466673,0.9821870361207323,0.13646875,0.13646875,106,133,0%_20_
92.0,3033.333333333333,11025.0,430.53405141830444,0.9060137733967937,0.7474350336961568,0.9823576583801122,0.9060137733967937,0.9823576583801122,0.1378125,0.1378125,109,131,0%_20_
93.0,3066.6666666666665,11131.5,411.9482640028,0.9207190470303892,0.8242865256067757,0.9876231035400586,0.9207190470303892,0.9876231035400586,0.13914375,0.13914375,111,130,0%_20_
94.0,3100.0,11228.5,409.6051185131073,0.9052103526019387,0.8410094141754526,0.9875983992259993,0.9052103526019387,0.9875983992259993,0.14035625,0.14035625,114,128,0%_20_
95.0,3133.3333333333335,11297.0,413.01933312416077,0.9020099348659413,0.832208659519963,0.9852607709750567,0.9020099348659413,0.9852607709750567,0.1412125,0.1412125,116,128,0%_20_
96.0,3166.6666666666665,11453.0,417.01933240890503,0.8916957745211519,0.8275928832033799,0.9850771943405152,0.8916957745211519,0.9850771943405152,0.1431625,0.1431625,119,126,0%_20_
97.0,3200.0,11529.5,423.26197278499603,0.8838671554102671,0.8087267977991156,0.9826138833255209,0.8838671554102671,0.9826138833255209,0.14411875,0.14411875,121,124,0%_20_
98.0,3233.3333333333335,11621.0,428.3330410718918,0.8849941158708677,0.7959581097339462,0.9808820426250264,0.8849941158708677,0.9808820426250264,0.1452625,0.1452625,124,123,0%_20_
99.0,3266.6666666666665,11692.0,430.8183218240738,0.8610479010280725,0.7916083040560531,0.9795986762180051,0.8610479010280725,0.9795986762180051,0.14615,0.14615,125,122,0%_20_
100.0,3300.0,11728.5,441.0609619617462,0.8315937528881475,0.7576263930043063,0.974694589877836,0.8315937528881475,0.974694589877836,0.14660625,0.14660625,128,120,0%_20_
101.0,3333.3333333333335,11724.5,418.5756804943085,0.8685015242957607,0.8409229614504696,0.9857905578677428,0.8685015242957607,0.9857905578677428,0.14655625,0.14655625,130,119,0%_20_
102.0,3366.6666666666665,11785.5,436.23253560066223,0.8436095689712233,0.7782547306048723,0.979879442943255,0.8436095689712233,0.979879442943255,0.14731875,0.14731875,133,117,0%_20_
103.0,3400.0,11811.0,428.96045660972595,0.8371289709122154,0.8066070539371295,0.9817955112219451,0.8371289709122154,0.9817955112219451,0.1476375,0.1476375,136,117,0%_20_
104.0,3433.333333333333,11825.5,427.5462431907654,0.8192942398567902,0.8129487864354706,0.9840642423233752,0.8192942398567902,0.9840642423233752,0.14781875,0.14781875,137,115,0%_20_
105.0,3466.666666666667,11815.0,432.274165391922,0.8174124898621978,0.7945569450361619,0.981434564106824,0.8174124898621978,0.981434564106824,0.1476875,0.1476875,139,114,0%_20_
106.0,3500.0,11807.5,431.2030977010727,0.7964038550505428,0.7980021732108736,0.9799161790945682,0.7964038550505428,0.9799161790945682,0.14759375,0.14759375,140,113,0%_20_
107.0,3533.333333333333,11830.0,430.6173119544983,0.7815726428978007,0.8016995455245018,0.9804409083374772,0.7815726428978007,0.9804409083374772,0.147875,0.147875,142,112,0%_20_
108.0,3566.6666666666665,11801.5,432.03152549266815,0.7729390143688533,0.794540789465902,0.9806389962192031,0.7729390143688533,0.9806389962192031,0.14751875,0.14751875,142,111,0%_20_
109.0,3600.0,11858.0,431.4457378387451,0.7626953312858811,0.8005140227639241,0.9808511518259647,0.7626953312858811,0.9808511518259647,0.148225,0.148225,144,111,0%_20_
110.0,3633.3333333333335,11847.0,432.61731112003326,0.7507467969358027,0.795445565617959,0.980590158506808,0.7507467969358027,0.980590158506808,0.1480875,0.1480875,144,110,0%_20_
111.0,3666.6666666666665,11908.0,438.2741656303406,0.738915112918565,0.779034958609314,0.9779091730311242,0.738915112918565,0.9779091730311242,0.14885,0.14885,147,110,0%_20_
112.0,3699.9999999999995,11929.0,441.6467487812042,0.7281013161060526,0.7685353126042783,0.9778269601213164,0.7281013161060526,0.9778269601213164,0.1491125,0.1491125,147,108,0%_20_
113.0,3733.3333333333335,11909.5,442.8599531650543,0.7183917982235408,0.7630808823616294,0.9770294105582673,0.7183917982235408,0.9770294105582673,0.14886875,0.14886875,151,108,0%_20_
114.0,3766.6666666666665,11913.0,443.7888842821121,0.722116525992299,0.7601130093558687,0.9761953537919449,0.722116525992299,0.9761953537919449,0.1489125,0.1489125,148,107,0%_20_
